;;População Estimada - DATASUS
;;Total
São Manoel do Paraná;RGI de Cianorte;2173
São Mateus do Sul;RGI de União da Vitória;43413
São Miguel do Iguaçu;RGI de Foz do Iguaçu;30198
São Pedro do Iguaçu;RGI de Toledo;5769
São Pedro do Ivaí;RGI de Apucarana;8611
São Pedro do Paraná;RGI de Loanda;2722
São Sebastião da Amoreira;RGI de Cornélio Procópio - Bandeirantes;8100
São Tomé;RGI de Cianorte;5290
Sapopema;RGI de Cornélio Procópio - Bandeirantes;6784
Sarandi;RGI de Maringá;125785
Saudade do Iguaçu;RGI de Pato Branco;6342
Sengés;RGI de Ponta Grossa;17344
Serranópolis do Iguaçu;RGI de Foz do Iguaçu;5138
Sertaneja;RGI de Cornélio Procópio - Bandeirantes;5667
Sertanópolis;RGI de Londrina;16183
Siqueira Campos;RGI de Santo Antônio da Platina;23712
Sulina;RGI de Pato Branco;3495
Tamarana;RGI de Londrina;10645
Tamboara;RGI de Paranavaí;4979
Tapejara;RGI de Cianorte;16255
Tapira;RGI de Umuarama;5813
Teixeira Soares;RGI de Irati;9581
Telêmaco Borba;RGI de Telêmaco Borba;77182
Terra Boa;RGI de Cianorte;18048
Terra Rica;RGI de Paranavaí;14989
Terra Roxa;RGI de Toledo;18548
Tibagi;RGI de Telêmaco Borba;20304
Tijucas do Sul;RGI de Curitiba;18279
Toledo;RGI de Toledo;158620
Tomazina;RGI de Santo Antônio da Platina;8495
Três Barras do Paraná;RGI de Cascavel;11197
Tunas do Paraná;RGI de Curitiba;6302
Tuneiras do Oeste;RGI de Cianorte;8095
Tupãssi;RGI de Toledo;8204
Turvo;RGI de Guarapuava;14443
Ubiratã;RGI de Campo Mourão;25517
Umuarama;RGI de Umuarama;121972
União da Vitória;RGI de União da Vitória;56397
Uniflor;RGI de Maringá;2121
Uraí;RGI de Cornélio Procópio - Bandeirantes;10407
Ventania;RGI de Telêmaco Borba;9779
Vera Cruz do Oeste;RGI de Cascavel;8227
Verê;RGI de Francisco Beltrão;8051
Virmond;RGI de Laranjeiras do Sul - Quedas do Iguaçu;3842
Vitorino;RGI de Pato Branco;10280
Wenceslau Braz;RGI de Santo Antônio da Platina;19430
Xambrê;RGI de Umuarama;5851
